R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.5,0.5,306,9.988,1,95,16531,34636,18879,61980,20251102
0.1,0.6,0.8,306,9.99,1,95,25753,41127,7719,65535,20251102
0.1,0.1,0.3,306,9.991,1,95,10301,9390,6823,35109,20251102
0.7,0.1,0.9,306,9.992,1,95,28621,9821,24513,64428,20251102
0.0,0.7,0.1,306,9.994,1,95,4605,46970,4251,57260,20251102
0.7,0.6,0.4,306,9.995,1,95,13700,41327,24793,65535,20251102
0.9,0.2,0.8,306,9.996,1,95,25592,15936,30467,65535,20251102
0.8,0.9,0.7,306,9.997,1,95,22942,60611,28360,65535,20251102
0.9,0.8,0.1,306,9.999,1,95,4737,53886,30736,65535,20251102
0.3,0.0,0.2,306,10.0,1,95,7824,2674,12166,31263,20251102
0.6,1.0,0.7,306,10.001,1,95,22980,65535,22550,65535,20251102
0.2,1.0,1.0,306,10.002,1,95,32014,65535,11328,65535,20251102
0.5,0.2,0.8,306,10.004,1,95,25716,15950,18684,60861,20251102
0.4,0.2,0.9,306,10.005,1,95,28557,15900,15818,60275,20251102
0.0,0.9,0.5,306,10.006,1,95,16697,60117,4801,65535,20251102
0.4,0.7,0.6,306,10.008,1,95,19803,47678,16254,65535,20251102
0.1,0.5,0.4,306,10.009,1,95,13638,34833,7262,57411,20251102
0.9,0.4,0.2,306,10.011,1,95,7531,28302,30112,60924,20251102
0.2,0.8,0.3,306,10.012,1,95,10644,53763,10328,65535,20251102
0.8,0.5,0.2,306,10.013,1,95,7593,34681,27359,64134,20251102
0.7,0.1,0.6,306,10.014,1,95,19523,9668,24105,54601,20251102
0.7,0.6,0.3,306,10.016,1,95,10844,40982,24546,65535,20251102
0.2,0.3,0.0,306,10.017,1,95,1314,21665,9358,37353,20251102
0.6,0.9,0.6,306,10.019,1,95,19790,60312,22216,65535,20251102
0.8,0.0,0.8,306,10.02,1,95,25465,3096,27110,58721,20251102
0.5,0.5,0.5,306,14.244,1,51,16007,33421,16949,55682,20251102
0.2,0.8,0.2,306,14.245,1,51,6924,52149,8624,59869,20251102
0.3,0.3,0.2,306,14.246,1,51,6860,20519,10719,34930,20251102
0.3,0.3,0.7,306,14.248,1,51,21933,20698,11077,48072,20251102
0.3,0.7,1.0,306,14.249,1,51,31267,46499,11984,65535,20251102
0.3,0.1,0.8,306,14.25,1,51,24976,8244,10851,42764,20251102
0.8,0.9,0.8,306,14.252,1,51,25271,59103,26579,65535,20251102
0.1,1.0,0.1,306,14.253,1,51,4051,65299,5928,65417,20251102
0.5,0.2,0.7,306,14.254,1,51,21988,14505,16713,48713,20251102
0.3,0.8,0.2,306,14.256,1,51,7141,52616,11304,60771,20251102
0.8,0.5,0.2,306,14.257,1,51,6999,33493,25551,56383,20251102
0.1,0.3,0.4,306,14.258,1,51,12870,20353,5152,37271,20251102
0.8,0.3,0.1,306,14.259,1,51,3897,20511,25272,45098,20251102
0.7,0.7,0.3,306,14.261,1,51,10031,46139,23006,65535,20251102
0.3,0.6,0.7,306,14.262,1,51,21962,39584,11616,64992,20251102
0.2,1.0,0.0,306,14.263,1,51,933,65291,8723,64706,20251102
0.3,0.8,0.0,306,14.265,1,51,879,52218,11398,56332,20251102
0.1,0.5,0.8,306,14.266,1,51,25121,33541,5674,58865,20251102
0.3,1.0,0.2,306,14.268,1,51,7011,65382,11679,65535,20251102
0.9,0.7,0.1,306,14.269,1,51,4135,46290,28773,65535,20251102
0.9,0.1,0.1,306,14.27,1,51,3909,8139,27915,37410,20251102
0.4,0.3,0.6,306,14.271,1,51,18958,20779,13839,47837,20251102
0.6,0.9,0.5,306,14.273,1,51,16203,58994,20456,65535,20251102
0.5,0.1,0.0,306,14.274,1,51,669,7903,16094,24945,20251102
0.9,0.4,0.0,306,14.275,1,51,823,26855,28171,49354,20251102
0.5,0.5,0.5,306,17.855,1,62,15324,32222,15828,51705,20251102
0.2,0.8,0.7,306,17.856,1,62,21694,51677,7405,65535,20251102
0.4,0.8,0.3,306,17.858,1,62,9455,51223,13140,59185,20251102
0.8,0.2,0.1,306,17.859,1,62,3295,13188,23790,32043,20251102
0.5,0.2,0.7,306,17.86,1,62,21383,13524,15340,41627,20251102
0.7,0.6,0.8,306,17.861,1,62,24439,38735,21842,65535,20251102
0.3,0.5,0.5,306,17.863,1,62,15459,32341,9900,46885,20251102
0.9,0.0,0.7,306,17.864,1,62,21343,731,26893,40737,20251102
0.4,0.6,0.3,306,17.865,1,62,9485,38457,12732,48692,20251102
0.2,0.8,1.0,306,17.867,1,62,30755,51512,7813,65535,20251102
0.9,0.5,0.0,306,17.868,1,62,295,32257,27053,46652,20251102
0.2,0.1,1.0,306,17.869,1,62,30464,7277,6866,38715,20251102
0.3,0.5,0.0,306,17.871,1,62,210,32064,9541,32739,20251102
0.1,0.3,0.7,306,17.872,1,62,21349,19528,4028,37774,20251102
0.8,0.6,0.6,306,17.873,1,62,18478,38636,24638,65535,20251102
0.6,0.3,0.5,306,17.874,1,62,15363,19581,18295,43409,20251102
1.0,0.5,0.6,306,17.876,1,62,18406,32501,30650,65271,20251102
0.5,0.1,0.2,306,17.877,1,62,6216,6883,14821,22791,20251102
0.9,0.9,0.1,306,17.878,1,62,3551,57854,27633,65535,20251102
1.0,0.7,0.6,306,17.879,1,62,18466,45286,30909,65535,20251102
0.4,0.9,0.7,306,17.881,1,62,21653,57985,13393,65535,20251102
