R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.5,0.5,310,9.381,0,5,16336,34012,17523,58085,20251106
1.0,1.0,0.8,310,9.383,0,5,25624,65535,33384,65535,20251106
0.2,0.5,0.2,310,9.384,0,5,7195,33756,8683,46486,20251106
0.2,0.8,0.7,310,9.385,0,5,22344,52919,9447,65535,20251106
0.5,0.6,0.4,310,9.386,0,5,13371,40418,17592,61878,20251106
0.2,0.8,0.1,310,9.387,0,5,4296,52558,9085,60118,20251106
0.4,0.9,0.2,310,9.389,0,5,7457,59175,15135,65535,20251106
0.7,0.0,0.4,310,9.39,0,5,13148,2116,22651,38921,20251106
0.4,0.3,0.9,310,9.392,0,5,28256,21441,14842,58584,20251106
0.0,0.3,0.2,310,9.393,0,5,7190,21075,2450,32963,20251106
0.9,0.3,0.2,310,9.394,0,5,7171,21171,28828,51309,20251106
1.0,0.3,0.1,310,9.396,0,5,4299,21335,31916,52564,20251106
0.6,0.0,0.7,310,9.397,0,5,22170,2181,19906,44917,20251106
0.1,0.8,0.2,310,9.398,0,5,7315,52958,6157,60761,20251106
0.4,0.2,0.5,310,9.399,0,5,16153,14885,14199,42931,20251106
0.7,0.0,0.9,310,9.401,0,5,28131,2301,22969,52916,20251106
1.0,0.8,0.5,310,9.402,0,5,16405,53215,32855,65535,20251106
0.1,0.1,0.3,310,9.403,0,5,10087,8416,5267,27524,20251106
1.0,0.1,0.7,310,9.404,0,5,22232,9258,32055,58716,20251106
0.8,0.1,0.8,310,9.406,0,5,25197,8881,25999,57562,20251106
0.3,0.6,0.7,310,9.407,0,5,22317,40254,11850,65358,20251106
0.1,0.3,0.9,310,9.408,0,5,28208,21517,5994,54794,20251106
0.1,0.6,0.9,310,9.409,0,5,28353,40217,6429,65535,20251106
0.7,0.4,0.0,310,9.411,0,5,1097,27343,22905,48034,20251106
0.6,0.7,0.9,310,9.412,0,5,28326,46751,20996,65535,20251106
0.5,0.5,0.5,310,15.79,1,54,15713,32691,16059,53045,20251106
0.6,0.5,0.7,310,15.791,1,54,21853,33098,19045,60153,20251106
0.1,0.3,0.3,310,15.792,1,54,9562,19786,4175,29356,20251106
0.1,0.8,0.8,310,15.793,1,54,24924,52148,5207,65535,20251106
0.7,0.4,0.3,310,15.795,1,54,9798,26679,21899,47856,20251106
0.5,0.9,0.1,310,15.796,1,54,3821,58174,16317,63838,20251106
0.5,0.3,0.3,310,15.797,1,54,9679,20247,15647,37189,20251106
0.4,0.0,0.1,310,15.799,1,54,3499,744,12166,15252,20251106
0.0,0.8,0.9,310,15.8,1,54,27835,51840,2140,65535,20251106
0.1,0.7,0.7,310,15.801,1,54,21860,45603,4964,61174,20251106
0.7,0.3,0.9,310,15.802,1,54,27785,20528,21983,59060,20251106
0.3,0.1,0.6,310,15.804,1,54,18716,7517,10022,32673,20251106
0.0,0.5,0.3,310,15.805,1,54,9660,32487,1331,37722,20251106
0.7,0.8,0.8,310,15.806,1,54,24970,52259,22562,65535,20251106
0.4,0.5,0.1,310,15.807,1,54,3677,32607,12880,40887,20251106
0.8,0.8,0.7,310,15.809,1,54,22048,52318,25451,65535,20251106
0.5,0.0,0.2,310,15.81,1,54,6500,828,15256,20519,20251106
0.5,0.7,0.5,310,15.811,1,54,15861,45738,16254,62734,20251106
0.2,1.0,0.7,310,15.812,1,54,21845,64995,8335,65535,20251106
0.3,0.9,0.3,310,15.814,1,54,9763,58203,10661,64246,20251106
0.2,0.9,0.1,310,15.815,1,54,3788,58123,7585,56967,20251106
1.0,0.3,0.2,310,15.816,1,54,6786,20362,30559,47562,20251106
0.8,0.3,0.4,310,15.817,1,54,12712,20159,24560,48670,20251106
0.4,0.2,0.6,310,15.819,1,54,18736,13872,12822,39510,20251106
0.4,0.1,0.4,310,15.82,1,54,12482,7619,12683,29199,20251106
0.5,0.5,0.5,310,17.336,1,66,15432,32312,15688,51226,20251106
0.9,0.6,0.5,310,17.337,1,66,15566,38965,27548,65058,20251106
0.3,0.5,0.1,310,17.339,1,66,3348,32160,9570,35844,20251106
0.7,0.2,0.9,310,17.34,1,66,27435,13690,21355,51991,20251106
0.3,0.5,0.8,310,17.341,1,66,24450,32351,9986,55074,20251106
0.5,0.4,0.0,310,17.342,1,66,213,25883,15155,32204,20251106
0.4,0.4,0.3,310,17.344,1,66,9368,25980,12434,38119,20251106
0.4,0.7,0.8,310,17.345,1,66,24582,45173,13319,65535,20251106
0.6,0.2,0.2,310,17.347,1,66,6225,13118,17983,30444,20251106
0.7,0.2,0.7,310,17.348,1,66,21435,13384,21239,46833,20251106
0.8,0.6,0.4,310,17.349,1,66,12533,38948,24501,60150,20251106
0.5,0.8,0.6,310,17.351,1,66,18647,51641,16060,65535,20251106
0.8,0.4,0.5,310,17.352,1,66,15480,26219,24296,52914,20251106
0.5,0.0,0.8,310,17.353,1,66,24330,609,15213,34414,20251106
0.0,0.9,0.7,310,17.354,1,66,21445,57453,1696,65535,20251106
1.0,0.0,1.0,310,17.356,1,66,30501,931,30270,51967,20251106
0.2,1.0,0.4,310,17.357,1,66,12471,64354,7647,65535,20251106
0.0,0.7,0.9,310,17.358,1,66,27483,45275,1578,61770,20251106
0.6,0.8,0.6,310,17.36,1,66,18600,51549,19060,65535,20251106
0.3,0.1,0.7,310,17.361,1,66,21316,7040,9615,32564,20251106
0.7,0.2,1.0,310,17.363,1,66,30537,13619,21463,55446,20251106
0.9,0.6,0.1,310,17.364,1,66,3502,38612,27285,54839,20251106
0.1,0.6,0.5,310,17.365,1,66,15369,38459,4305,47551,20251106
0.3,0.1,0.4,310,17.366,1,66,12273,6931,9350,24155,20251106
0.1,1.0,0.1,310,17.367,1,66,3501,64185,4531,57471,20251106
