R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.5,0.5,305,9.197,1,21,15588,32682,15834,52106,20251101
0.6,0.7,0.5,305,9.199,1,21,15623,45373,18969,63877,20251101
0.8,0.7,0.3,305,9.2,1,21,9567,45374,24740,63637,20251101
0.2,0.7,0.2,305,9.201,1,21,6463,44884,7347,47848,20251101
0.5,0.2,0.9,305,9.203,1,21,27482,13856,15717,48371,20251101
0.1,0.5,0.4,305,9.204,1,21,12497,32281,4281,40731,20251101
1.0,0.1,0.6,305,9.205,1,21,18321,7677,30329,47213,20251101
0.9,0.8,0.8,305,9.206,1,21,24544,51827,28259,65535,20251101
0.3,0.9,0.9,305,9.208,1,21,27649,58030,11026,65535,20251101
0.8,0.5,0.8,305,9.209,1,21,24553,32785,25069,65535,20251101
0.3,0.4,0.7,305,9.21,1,21,21414,26018,10007,48291,20251101
0.5,0.4,0.1,305,9.211,1,21,3489,25934,15638,36972,20251101
0.4,0.7,0.1,305,9.213,1,21,3494,45124,12883,49449,20251101
0.6,0.0,0.7,305,9.214,1,21,21477,769,18210,35051,20251101
0.3,0.8,0.5,305,9.215,1,21,15653,51610,10569,63385,20251101
1.0,0.8,0.5,305,9.217,1,21,15668,51797,31181,65535,20251101
0.2,0.7,0.9,305,9.218,1,21,27607,45425,7719,65535,20251101
0.2,0.1,0.4,305,9.219,1,21,12323,7010,6646,22890,20251101
0.4,0.4,0.9,305,9.22,1,21,27514,26171,13015,56030,20251101
0.3,0.3,0.0,305,9.222,1,21,232,19546,9504,23892,20251101
0.0,0.0,0.2,305,9.223,1,21,6306,265,354,7099,20251101
0.5,1.0,0.3,305,9.224,1,21,9591,64608,16286,65535,20251101
0.0,0.2,0.9,305,9.226,1,21,27468,13428,1112,37242,20251101
0.2,0.8,0.5,305,9.227,1,21,15640,51672,7495,61391,20251101
0.6,0.8,0.6,305,9.228,1,21,18629,51714,19239,65535,20251101
0.5,0.5,0.5,305,15.589,1,61,15710,32925,16083,53678,20251101
0.3,1.0,0.9,305,15.59,1,61,27845,65090,11452,65535,20251101
0.7,0.6,0.9,305,15.591,1,61,27748,39319,22439,65535,20251101
0.9,0.8,0.1,305,15.593,1,61,3768,51947,28057,65535,20251101
0.7,0.8,0.6,305,15.594,1,61,18743,52342,22449,65535,20251101
0.2,0.6,0.3,305,15.595,1,61,9593,38868,7576,47948,20251101
0.1,0.3,0.9,305,15.596,1,61,27575,20171,4711,46848,20251101
0.7,0.9,0.1,305,15.598,1,61,3817,58041,22264,65535,20251101
0.4,0.7,0.7,305,15.599,1,61,21877,45735,13671,65535,20251101
0.1,0.6,0.2,305,15.6,1,61,6544,38825,4651,42702,20251101
0.6,0.6,0.6,305,15.601,1,61,18709,39220,19343,62795,20251101
0.2,0.2,0.2,305,15.603,1,61,6625,13878,6888,24051,20251101
1.0,0.3,0.8,305,15.604,1,61,24689,20392,31117,64706,20251101
0.9,0.7,0.1,305,15.605,1,61,3822,45421,27984,63412,20251101
0.6,0.9,0.1,305,15.606,1,61,3869,58169,19648,65535,20251101
0.4,0.3,0.1,305,15.608,1,61,3562,19909,12773,31310,20251101
0.5,0.6,0.4,305,15.609,1,61,12810,39273,16320,55607,20251101
1.0,0.3,0.0,305,15.61,1,61,539,19956,30584,42852,20251101
0.9,0.5,0.6,305,15.612,1,61,18935,33364,28129,65535,20251101
0.7,0.6,0.8,305,15.613,1,61,24749,39475,22716,65535,20251101
0.2,0.8,0.7,305,15.614,1,61,21837,52111,8205,65535,20251101
1.0,0.3,0.8,305,15.616,1,61,24747,20667,31198,64189,20251101
0.5,0.3,0.7,305,15.617,1,61,21652,20161,16173,49626,20251101
1.0,0.5,0.4,305,15.618,1,61,12720,33083,31181,62845,20251101
0.0,0.7,0.2,305,15.619,1,61,6690,45324,1725,46118,20251101
0.5,0.5,0.5,305,18.497,1,80,15434,32232,15667,51266,20251101
0.4,0.1,0.7,305,18.498,1,80,21379,7120,12277,34445,20251101
0.2,0.6,0.9,305,18.5,1,80,27432,38746,7456,61477,20251101
1.0,0.5,0.9,305,18.501,1,84,27547,32800,30844,65535,20251101
0.5,0.0,0.5,305,18.503,1,84,15123,458,14975,25797,20251101
0.4,0.8,0.9,305,18.504,1,84,27555,51514,13419,65535,20251101
0.1,0.1,0.6,305,18.505,1,84,18335,6905,3703,25048,20251101
0.2,0.4,0.4,305,18.506,1,84,12376,25896,6866,36650,20251101
0.5,0.2,0.4,305,18.508,1,84,12214,13528,15379,33834,20251101
0.3,0.1,0.4,305,18.509,1,84,12121,7232,9373,24047,20251101
0.0,0.7,1.0,305,18.51,1,84,30649,45116,1628,64279,20251101
0.6,0.6,0.6,305,18.512,1,84,18467,38723,18727,60914,20251101
0.9,0.9,0.2,305,18.513,1,84,6648,57844,27781,65535,20251101
0.9,0.3,0.2,305,18.514,1,84,6405,19775,26891,42024,20251101
0.7,0.9,0.2,305,18.516,1,84,6511,57694,21807,65535,20251101
0.7,0.4,0.4,305,18.517,1,84,12428,26131,21294,47564,20251101
0.0,0.8,0.9,305,18.518,1,84,27427,51231,1690,65535,20251101
0.3,0.9,0.3,305,18.519,1,84,9490,57747,10369,62009,20251101
0.1,0.1,0.8,305,18.521,1,84,24330,7138,3842,30606,20251101
0.8,0.7,0.2,305,18.522,1,84,6514,45047,24482,60203,20251101
0.9,0.3,0.7,305,18.523,1,84,21356,20019,27298,56470,20251101
0.9,0.6,0.5,305,18.525,1,84,15506,38947,27523,65043,20251101
0.7,0.2,0.2,305,18.526,1,84,6325,13504,20850,32401,20251101
0.9,0.5,1.0,305,18.527,1,84,30666,32920,27784,65535,20251101
0.2,0.5,0.9,305,18.529,1,84,27507,32614,7380,55971,20251101
