R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.5,0.5,309,7.339,1,21,15646,32848,16225,52768,20251105
0.4,0.2,0.7,309,7.341,1,21,21620,13780,13176,42881,20251105
0.7,0.9,0.2,309,7.342,1,21,6798,58331,22418,65535,20251105
0.5,0.0,0.1,309,7.343,1,21,3518,778,15496,18316,20251105
0.6,0.0,0.8,309,7.344,1,21,24447,1145,18690,40023,20251105
0.1,0.2,0.6,309,7.346,1,21,18455,13665,4456,33677,20251105
0.3,0.3,0.3,309,7.348,1,21,9575,19809,9963,34319,20251105
0.1,0.9,0.2,309,7.349,1,21,6655,58007,5108,58036,20251105
0.5,0.5,0.3,309,7.35,1,21,9671,32781,16097,49113,20251105
0.2,0.4,0.5,309,7.351,1,21,15603,26297,7384,43209,20251105
0.0,0.6,0.5,309,7.353,1,21,15675,39112,1769,48633,20251105
0.8,0.2,0.9,309,7.354,1,21,27578,14057,24898,57987,20251105
0.0,0.3,0.0,309,7.355,1,21,344,19559,1007,18832,20251105
0.3,0.6,0.9,309,7.357,1,21,27722,39322,10785,65535,20251105
0.7,0.3,0.9,309,7.358,1,21,27608,20275,21960,59671,20251105
0.6,0.1,0.7,309,7.359,1,21,21610,7636,18828,42654,20251105
0.7,1.0,0.7,309,7.361,1,21,21768,65140,22909,65535,20251105
1.0,0.3,0.8,309,7.362,1,21,24792,20328,31134,64872,20251105
0.2,1.0,0.8,309,7.363,1,21,24871,65031,8547,65535,20251105
0.4,0.0,0.4,309,7.364,1,21,12494,852,12607,24121,20251105
0.1,0.5,0.1,309,7.366,1,21,3539,32374,4494,34595,20251105
0.7,0.7,0.8,309,7.367,1,21,24792,45684,22471,65535,20251105
0.6,0.1,0.7,309,7.368,1,21,21435,7918,18781,42634,20251105
0.4,0.1,0.8,309,7.37,1,21,24483,7608,13089,40976,20251105
0.9,0.6,0.3,309,7.371,1,21,9785,39428,27999,62292,20251105
0.5,0.5,0.5,309,14.701,1,90,15661,32819,15997,52509,20251105
0.2,0.1,0.4,309,14.702,1,90,12406,7116,6755,23563,20251105
0.5,0.5,0.4,309,14.703,1,90,12534,32638,15853,49541,20251105
0.8,0.9,0.2,309,14.704,1,90,6804,58123,25148,65535,20251105
0.7,0.8,0.3,309,14.706,1,90,9723,51752,22059,65535,20251105
0.4,0.4,0.1,309,14.707,1,90,3477,26422,12593,35026,20251105
0.3,0.9,0.6,309,14.708,1,90,18887,58162,10933,65535,20251105
0.6,0.6,0.8,309,14.709,1,90,24706,39206,19219,65535,20251105
0.9,0.4,0.4,309,14.711,1,90,12630,26492,27559,53624,20251105
0.4,0.8,0.1,309,14.712,1,90,3614,51532,13273,55682,20251105
0.0,0.8,0.4,309,14.713,1,90,12636,51620,1698,54510,20251105
0.3,0.0,0.8,309,14.714,1,90,24513,823,9646,31773,20251105
0.6,0.3,0.4,309,14.716,1,90,12541,20124,18598,42070,20251105
0.9,0.7,0.8,309,14.717,1,90,24839,45780,28259,65535,20251105
0.2,0.2,0.6,309,14.718,1,90,18557,13561,7017,34230,20251105
0.4,0.3,0.6,309,14.72,1,90,18507,19897,12953,43264,20251105
0.1,0.2,0.3,309,14.721,1,90,9466,13414,3877,23272,20251105
0.1,0.6,0.5,309,14.722,1,90,15486,38744,4669,49371,20251105
0.2,0.9,0.9,309,14.723,1,90,27693,58011,8157,65535,20251105
0.5,0.0,0.0,309,14.725,1,90,222,501,14927,13526,20251105
0.5,0.2,0.5,309,14.726,1,90,15348,13798,15643,38339,20251105
0.1,0.7,1.0,309,14.727,1,90,30800,45362,5063,65535,20251105
0.0,0.1,0.0,309,14.729,1,90,175,7036,442,7283,20251105
0.3,0.3,0.4,309,14.73,1,90,12482,19845,9687,34723,20251105
0.7,0.3,0.9,309,14.731,1,90,27528,20044,21826,57966,20251105
