R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.5,0.5,308,8.28,1,57,16085,33542,17152,58379,20251104
0.7,0.7,0.7,308,8.282,1,57,22163,46323,23406,65535,20251104
0.8,0.9,0.2,308,8.283,1,57,7196,59084,26193,65535,20251104
0.9,0.0,0.8,308,8.284,1,57,25042,1955,28391,52056,20251104
0.3,0.5,0.8,308,8.286,1,57,25135,33588,11558,62219,20251104
0.1,0.6,0.1,308,8.287,1,57,3970,39418,5468,44649,20251104
0.3,0.3,0.1,308,8.288,1,57,3924,20623,10715,33155,20251104
1.0,0.4,0.6,308,8.29,1,57,19123,27478,31932,65535,20251104
0.0,0.2,0.2,308,8.291,1,57,6770,14008,1844,24283,20251104
0.6,0.0,0.4,308,8.292,1,57,12762,1589,19247,33336,20251104
0.8,0.6,0.4,308,8.294,1,57,13094,39975,25905,65026,20251104
0.9,0.6,0.6,308,8.295,1,57,19044,39927,29065,65535,20251104
0.1,0.3,0.8,308,8.296,1,57,25037,20761,5466,48809,20251104
0.6,0.3,0.9,308,8.297,1,57,27952,21096,20195,60718,20251104
0.3,0.7,0.9,308,8.299,1,57,28074,46353,11687,65535,20251104
0.2,0.3,0.2,308,8.3,1,57,6971,20477,7947,33791,20251104
0.5,0.2,0.7,308,8.301,1,57,21851,14371,16737,48337,20251104
1.0,0.0,0.2,308,8.303,1,57,6861,1643,31062,36966,20251104
0.2,0.7,0.4,308,8.304,1,57,13054,46317,8441,59328,20251104
0.7,0.9,0.1,308,8.305,1,57,4087,58626,23093,65535,20251104
0.6,0.5,0.9,308,8.307,1,57,28048,33554,20208,65535,20251104
0.3,0.7,0.4,308,8.308,1,57,13054,46139,11309,60255,20251104
0.8,1.0,0.8,308,8.309,1,57,25162,65535,26777,65535,20251104
0.7,0.9,0.6,308,8.311,1,57,19153,58952,23421,65535,20251104
0.5,0.7,0.3,308,8.312,1,57,9987,46167,17054,61265,20251104
0.5,0.5,0.5,308,14.583,1,50,15785,32836,16035,52921,20251104
1.0,0.6,0.9,308,14.584,1,50,27913,39715,31432,65535,20251104
0.5,0.8,0.5,308,14.586,1,50,15906,52037,16540,65535,20251104
0.9,0.8,0.7,308,14.587,1,50,21877,52188,28365,65535,20251104
0.8,1.0,0.3,308,14.588,1,50,9877,65078,25425,65535,20251104
0.6,0.1,0.1,308,14.589,1,50,3650,7412,18203,25447,20251104
0.0,0.7,0.5,308,14.591,1,50,15865,45525,1721,53311,20251104
0.0,0.1,0.1,308,14.592,1,50,3499,7167,638,11627,20251104
0.8,0.7,0.9,308,14.593,1,50,27928,45887,25340,65535,20251104
0.2,0.1,0.6,308,14.594,1,50,18632,7424,6800,29762,20251104
0.0,0.9,0.7,308,14.596,1,50,21910,58084,2061,65535,20251104
0.5,0.0,0.5,308,14.597,1,50,15644,928,15347,28688,20251104
0.8,0.2,1.0,308,14.598,1,50,30860,14419,24923,59974,20251104
0.2,0.8,0.6,308,14.6,1,50,18753,51695,7887,65535,20251104
1.0,0.2,0.2,308,14.601,1,50,6717,14101,30331,42258,20251104
0.2,0.1,0.2,308,14.602,1,50,6609,7308,6498,18371,20251104
0.3,0.7,0.2,308,14.604,1,50,6813,45546,10340,51095,20251104
0.8,0.2,0.5,308,14.605,1,50,15604,13931,24402,46014,20251104
0.3,0.9,0.1,308,14.606,1,50,3778,57881,10479,58910,20251104
0.8,0.7,1.0,308,14.607,1,50,31021,46174,25438,65535,20251104
1.0,0.2,0.9,308,14.609,1,50,27727,14085,30827,61464,20251104
0.3,0.8,0.9,308,14.61,1,50,27827,51897,11034,65535,20251104
0.4,0.4,0.1,308,14.611,1,50,3631,26235,12701,35388,20251104
0.1,0.8,0.3,308,14.613,1,50,9751,51592,4684,54802,20251104
0.8,0.9,0.7,308,14.614,1,50,22020,58584,25472,65535,20251104
