R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.5,0.5,307,6.079,0,4,15279,32188,15616,51080,20251103
0.1,0.1,0.9,307,6.081,0,4,27254,7215,3856,33410,20251103
0.1,0.1,0.5,307,6.082,0,4,15154,7026,3646,22437,20251103
0.5,0.4,0.9,307,6.083,0,4,27474,26067,15818,57395,20251103
0.9,0.9,0.2,307,6.085,0,4,6605,57912,27691,65535,20251103
1.0,0.8,0.7,307,6.086,0,4,21692,51877,31100,65535,20251103
0.7,0.0,0.0,307,6.087,0,4,98,316,20498,16351,20251103
1.0,0.6,0.7,307,6.089,0,4,21550,39013,30839,65535,20251103
0.4,0.8,0.5,307,6.09,0,4,15397,51272,13274,64396,20251103
0.6,0.8,0.4,307,6.091,0,4,12565,51526,18901,65535,20251103
0.4,0.9,0.2,307,6.092,0,4,6497,57729,12980,61259,20251103
0.9,0.2,0.4,307,6.094,0,4,12369,13577,26943,42629,20251103
0.6,0.2,0.8,307,6.095,0,4,24330,13401,18332,46819,20251103
0.8,0.9,0.5,307,6.096,0,4,15596,57959,24981,65535,20251103
0.4,0.3,0.9,307,6.098,0,4,27408,19711,12708,50255,20251103
0.9,0.4,0.4,307,6.099,0,4,12310,25971,27243,52905,20251103
0.6,0.1,0.3,307,6.101,0,4,9339,6975,17888,28008,20251103
0.5,0.3,0.1,307,6.102,0,4,3280,19454,15057,30241,20251103
0.5,0.9,0.7,307,6.103,0,4,21655,57963,16272,65535,20251103
0.8,0.2,0.4,307,6.105,0,4,12208,13481,23917,40496,20251103
0.6,0.1,0.9,307,6.106,0,4,27397,7297,18318,44905,20251103
0.8,0.6,0.6,307,6.107,0,4,18400,38779,24590,65456,20251103
0.5,0.2,0.7,307,6.108,0,4,21440,13409,15317,41696,20251103
0.4,0.2,0.1,307,6.11,0,4,3286,13104,12018,22552,20251103
0.8,0.8,0.8,307,6.111,0,4,24693,51833,25070,65535,20251103
0.5,0.5,0.5,307,14.147,1,26,16062,33573,17033,55164,20251103
0.9,0.0,0.3,307,14.148,1,26,9887,1737,28015,37970,20251103
0.4,0.3,0.9,307,14.149,1,26,28049,21100,14142,57267,20251103
0.7,0.4,0.6,307,14.151,1,26,19033,27178,22869,58886,20251103
0.8,0.5,0.4,307,14.152,1,26,13114,33707,25745,60071,20251103
0.4,0.7,0.2,307,14.154,1,26,7067,46117,14200,57822,20251103
1.0,0.2,0.6,307,14.155,1,26,19080,14821,31710,59459,20251103
0.7,0.4,0.4,307,14.156,1,26,13046,27273,22804,53999,20251103
0.6,0.9,0.6,307,14.157,1,26,19222,59154,20658,65535,20251103
0.6,0.5,0.4,307,14.159,1,26,13101,33572,19984,57196,20251103
0.3,0.2,0.8,307,14.16,1,26,24945,14853,11281,47601,20251103
0.5,0.8,0.9,307,14.161,1,26,28227,52775,17694,65535,20251103
1.0,0.2,0.7,307,14.162,1,26,22046,14755,31784,60652,20251103
0.4,0.5,0.6,307,14.164,1,26,19188,33584,14242,59570,20251103
0.0,0.5,0.3,307,14.165,1,26,9914,33186,2275,42371,20251103
0.8,1.0,0.1,307,14.166,1,26,4194,65535,26240,65535,20251103
0.6,0.7,0.7,307,14.167,1,26,22235,46427,20368,65535,20251103
0.5,0.7,0.5,307,14.169,1,26,16223,46510,17372,65535,20251103
0.7,0.0,0.5,307,14.17,1,26,15942,1767,22360,39310,20251103
0.8,0.7,0.3,307,14.171,1,26,10208,46287,26083,65535,20251103
0.6,0.5,0.8,307,14.173,1,26,25061,33730,20160,65535,20251103
0.8,0.6,0.1,307,14.174,1,26,4094,39865,25720,60189,20251103
0.5,0.3,0.1,307,14.175,1,26,3991,20787,16746,38422,20251103
0.5,0.9,1.0,307,14.177,1,26,31401,59204,17953,65535,20251103
0.4,0.2,0.1,307,14.178,1,26,3873,14288,13516,31093,20251103
0.5,0.5,0.5,307,18.122,1,49,15478,32499,15581,50975,20251103
0.3,0.5,0.2,307,18.123,1,49,6291,31950,9660,38414,20251103
0.8,0.6,0.2,307,18.124,1,49,6435,38731,24280,54938,20251103
0.5,0.6,0.2,307,18.126,1,49,6462,38551,15543,48042,20251103
0.2,0.4,0.8,307,18.127,1,49,24452,26090,6992,47776,20251103
0.2,0.8,0.3,307,18.128,1,49,9460,51417,7150,54542,20251103
0.8,0.7,0.7,307,18.129,1,49,21564,45469,24875,65535,20251103
0.9,0.5,0.9,307,18.131,1,49,27466,32629,27696,65535,20251103
0.2,0.5,0.9,307,18.132,1,49,27396,32286,7274,55980,20251103
1.0,0.6,0.3,307,18.133,1,49,9466,38771,30580,63045,20251103
0.8,0.1,0.2,307,18.134,1,49,6282,7020,23680,29965,20251103
0.6,0.8,0.7,307,18.136,1,49,21572,51524,19105,65535,20251103
0.9,0.5,0.3,307,18.137,1,49,9474,32355,27277,54811,20251103
0.0,0.4,0.2,307,18.139,1,49,6232,25412,674,26497,20251103
0.1,0.6,0.0,307,18.14,1,49,216,38473,3839,33464,20251103
0.8,0.2,0.5,307,18.141,1,49,15307,13479,24050,42896,20251103
0.5,0.2,0.1,307,18.142,1,49,3249,12989,14924,24942,20251103
0.2,0.3,0.1,307,18.144,1,49,3266,19393,6446,23054,20251103
0.5,0.5,0.7,307,18.145,1,49,21521,32518,15764,57175,20251103
0.2,0.8,0.8,307,18.146,1,49,24602,51674,7482,65535,20251103
1.0,0.5,0.6,307,18.148,1,49,18407,32479,30652,65365,20251103
0.4,0.1,0.3,307,18.149,1,49,9306,6906,12062,23382,20251103
0.0,0.6,0.8,307,18.15,1,49,24587,38752,1354,53477,20251103
0.0,0.9,0.2,307,18.152,1,49,6420,57489,1329,52193,20251103
0.9,0.9,0.7,307,18.153,1,49,21695,58162,28088,65535,20251103
