R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.5,0.5,311,8.905,1,100,15896,33357,17001,55649,20251107
0.4,0.3,0.4,311,8.907,1,100,12866,20628,13708,41271,20251107
0.4,0.7,0.7,311,8.908,1,100,21915,46026,14612,65535,20251107
0.1,0.6,0.7,311,8.909,1,100,21967,39713,5666,60380,20251107
0.3,0.9,0.9,311,8.911,1,100,28072,58814,12042,65535,20251107
0.8,0.9,0.2,311,8.912,1,100,7093,58833,26035,65535,20251107
0.4,0.2,0.0,311,8.913,1,100,630,14298,13466,27325,20251107
0.5,0.8,0.1,311,8.915,1,100,3979,52104,17053,62558,20251107
0.3,0.4,0.6,311,8.916,1,100,18861,26799,11011,50541,20251107
0.2,0.4,0.2,311,8.917,1,100,6822,26924,7852,37530,20251107
0.4,0.9,0.3,311,8.919,1,100,9876,58499,14453,65535,20251107
0.2,0.9,0.6,311,8.92,1,100,19076,58853,8854,65535,20251107
0.5,0.4,0.9,311,8.921,1,100,27892,27324,17089,62192,20251107
0.4,1.0,0.4,311,8.923,1,100,12965,65395,14776,65535,20251107
0.7,0.7,0.9,311,8.924,1,100,28024,46395,23304,65535,20251107
0.4,0.9,0.5,311,8.925,1,100,15980,58672,14542,65535,20251107
0.4,0.3,0.7,311,8.926,1,100,22001,20709,13896,50830,20251107
0.3,0.3,1.0,311,8.928,1,100,31001,20762,11133,55694,20251107
0.7,0.1,0.0,311,8.929,1,100,643,8082,21873,29042,20251107
0.3,0.5,1.0,311,8.93,1,100,31094,33621,11584,65535,20251107
0.2,0.2,0.4,311,8.932,1,100,12763,14070,7684,32545,20251107
0.7,0.6,0.2,311,8.933,1,100,6957,39602,22714,58764,20251107
0.3,0.1,0.7,311,8.934,1,100,21800,8065,10798,39569,20251107
0.3,0.2,0.1,311,8.936,1,100,3819,14305,10602,27605,20251107
0.6,0.8,0.2,311,8.937,1,100,7055,52215,20089,65535,20251107
0.5,0.5,0.5,311,15.338,1,100,15558,32621,16939,52483,20251107
0.2,0.5,0.3,311,15.339,1,100,9550,32637,8244,42668,20251107
0.9,0.1,0.6,311,15.34,1,100,18466,7676,28267,46919,20251107
0.4,0.2,0.9,311,15.341,1,100,27549,13842,14042,48519,20251107
0.3,0.9,0.3,311,15.343,1,100,9814,57940,11536,65535,20251107
0.8,0.2,1.0,311,15.344,1,100,30728,14200,25957,61236,20251107
0.2,0.2,0.3,311,15.346,1,100,9540,13542,7872,27589,20251107
0.2,0.0,0.8,311,15.347,1,100,24398,885,7855,31161,20251107
0.8,0.8,0.2,311,15.348,1,100,6752,51920,26089,65535,20251107
0.4,0.8,0.4,311,15.35,1,100,12565,51564,14461,64909,20251107
0.2,0.6,0.6,311,15.351,1,100,18694,39114,8391,55829,20251107
0.2,0.4,0.6,311,15.352,1,100,18623,26492,8290,46092,20251107
0.4,0.1,1.0,311,15.354,1,100,30669,7636,13876,46748,20251107
0.8,0.6,0.9,311,15.355,1,100,27747,39391,26147,65535,20251107
0.9,0.3,0.4,311,15.356,1,100,12648,20200,28423,50047,20251107
0.9,0.7,0.5,311,15.358,1,100,15633,45492,29034,65535,20251107
0.2,0.6,0.4,311,15.359,1,100,12695,39011,8286,50521,20251107
0.9,0.4,0.4,311,15.36,1,100,12713,26676,28458,54864,20251107
0.6,0.1,0.0,311,15.361,1,100,336,7531,19070,23323,20251107
0.8,0.8,0.4,311,15.363,1,100,12793,51949,26169,65535,20251107
0.9,0.5,0.5,311,15.364,1,100,15663,32804,28761,62941,20251107
0.3,0.3,0.2,311,15.365,1,100,6514,19963,10612,31314,20251107
0.5,0.7,0.4,311,15.367,1,100,12620,45391,17138,60723,20251107
0.8,0.6,1.0,311,15.368,1,100,30894,39336,26329,65535,20251107
0.0,0.4,0.4,311,15.369,1,100,12428,25855,2166,35912,20251107
