R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0,0,0,212,13.326,1,96,844,1689,2127,13266,20250731
0.9,0.5,0.6,212,13.911,1,100,19888,35221,30901,65535,20250731
1,0.8,0.2,212,13.911,1,100,7964,54316,34207,65535,20250731
0.8,1,0.6,212,13.911,1,100,20253,65535,28784,65535,20250731
0,0.1,0.9,212,13.911,1,100,28791,9686,3991,53746,20250731
0.1,0.8,0.4,212,13.912,1,100,14095,53948,7743,65535,20250731
0,0,0,213,13.491,1,37,1019,1893,2197,16726,20250801
0.4,0.2,0.6,213,13.496,1,37,19354,15527,14892,50879,20250801
0.1,0.7,1,213,13.496,1,37,31800,47072,6996,65535,20250801
0,0.2,0.5,213,13.496,1,37,16302,15357,2887,42047,20250801
0.7,0.3,0.1,213,13.496,1,37,4478,21675,23511,50772,20250801
0.4,0.2,0.8,213,13.497,1,37,25434,15620,15069,56698,20250801
0,0,0,213,13.737,1,34,719,1332,1528,9881,20250801
1,1,0.9,213,13.737,1,34,28488,65535,33202,65535,20250801
0.5,0.2,0.6,213,13.737,1,34,19012,14938,17139,49380,20250801
0.6,0.1,0.5,213,13.738,1,34,15993,8453,19677,43498,20250801
0.4,0.5,0.5,213,13.738,1,34,16296,33827,14312,57476,20250801
0.8,1,0.7,213,13.738,1,34,22617,65535,27085,65535,20250801
0.5,0.7,0.7,213,13.74,1,34,22420,46606,17686,65535,20250801
1,0.1,0.5,213,13.741,1,34,16150,8702,31783,52232,20250801
0.7,0.9,0.1,213,13.741,1,34,4286,58886,23418,65535,20250801
0.4,0.4,0.6,213,13.741,1,34,19145,27214,14369,54833,20250801
0.3,0.9,0.6,213,13.741,1,34,19454,59302,11939,65535,20250801
0,1,0.2,213,13.742,1,34,7243,65535,3003,65535,20250801
1,0.5,0.6,213,13.742,1,34,19276,33918,32395,65535,20250801
0.5,0.1,0.6,213,13.742,1,34,19074,8517,16848,44229,20250801
0.4,0.9,0.2,213,13.743,1,34,7281,59094,14655,65535,20250801
0.1,0.6,0.7,213,13.743,1,34,22381,40126,5962,63430,20250801
0.2,0.4,0.2,213,13.743,1,34,7003,27024,8329,40226,20250801
0.9,0.6,0.9,213,13.744,1,34,28427,40533,29532,65535,20250801
0.9,0.7,0.5,213,13.744,1,34,16252,46559,29438,65535,20250801
0.3,0,0.4,213,13.744,1,34,12963,1695,10878,28702,20250801
0.8,0.5,0.4,213,13.744,1,34,13129,33785,26204,61709,20250801
0.7,0,0.7,213,13.745,1,34,21989,2021,22932,46566,20250801
1,0.3,0.8,213,13.745,1,34,25212,21603,32364,65535,20250801
0.6,0.1,0.4,213,13.745,1,34,12981,8599,19946,41079,20250801
0.7,0.9,0.7,213,13.746,1,34,22476,59403,23979,65535,20250801
0.1,0.1,0.8,213,13.746,1,34,25145,8390,5458,41109,20250801
1,0.7,0.9,213,13.746,1,34,28459,46799,32968,65535,20250801
0.4,0.7,0.5,213,13.747,1,34,16370,46503,14617,65535,20250801
0.8,0.3,0.8,213,13.747,1,34,25375,21291,26183,65535,20250801
0.3,0.3,0.8,213,13.747,1,34,25142,21132,11614,53621,20250801
0.7,0.4,0.8,213,13.747,1,34,25169,27579,23492,65535,20250801
0.1,0.4,0.6,213,13.748,1,34,19117,27240,5695,50916,20250801
0.3,0.5,0.1,213,13.748,1,34,4177,33465,11380,45793,20250801
0.3,0.8,0.9,213,13.748,1,34,28368,52909,12455,65535,20250801
0.9,0,1,213,13.749,1,34,31358,2274,28933,59891,20250801
0.7,0.7,0.5,213,13.749,1,34,16413,46864,23583,65535,20250801
0.7,0.4,0.4,213,13.751,1,34,13150,27474,23336,55142,20250801
0.4,0.5,0.8,213,13.754,1,34,25415,34050,14663,65178,20250801
0.2,0.1,0.5,213,13.757,1,34,16202,8386,8059,35125,20250801
0.5,0.5,0.8,213,13.76,1,34,25206,33590,17475,65535,20250801
0.8,0.5,0.6,213,13.763,1,34,19224,33795,26170,65535,20250801
0.8,0.3,0.6,213,13.766,1,34,19184,21157,25890,57751,20250801
0.9,0.9,0.5,213,13.769,1,34,16275,59183,29573,65535,20250801
1,0.8,0.9,213,13.773,1,34,28468,53231,32844,65535,20250801
0,0.1,0.1,213,13.776,1,34,4051,8274,1797,20561,20250801
1,1,0,213,13.779,1,34,1191,65535,32545,65535,20250801
0,0,0,210,16.483,2,75,626,1123,2272,8518,20250729
0,0,0.052631579,210,16.483,2,75,2406,1154,2318,10184,20250729
0,0,0.105263158,210,16.5,2,75,3947,1182,2363,11783,20250729
0,0,0.157894737,210,16.5,2,75,5487,1204,2398,13179,20250729
0,0,0.210526316,210,16.5,2,75,7099,1229,2436,14730,20250729
0,0,0.263157895,210,16.5,2,75,8809,1254,2470,16075,20250729
0,0,0.315789474,210,16.5,2,75,10360,1276,2504,17556,20250729
0,0,0.368421053,210,16.5,2,75,11888,1293,2535,19025,20250729
0,0,0.421052632,210,16.5,2,75,13530,1315,2570,20506,20250729
0,0,0.473684211,210,16.5,2,75,15152,1336,2605,22121,20250729
0,0,0.526315789,210,16.5,2,75,16842,1357,2639,23706,20250729
0,0,0.578947368,210,16.5,2,75,18345,1376,2666,24910,20250729
0,0,0.631578947,210,16.5,2,75,19952,1397,2701,26513,20250729
0,0,0.684210526,210,16.5,2,75,21554,1418,2735,27995,20250729
0,0,0.736842105,210,16.5,2,75,22969,1435,2768,29491,20250729
0,0,0.789473684,210,16.5,2,75,24748,1455,2798,31012,20250729
0,0,0.842105263,210,16.5,2,75,26186,1477,2829,32319,20250729
0,0,0.894736842,210,16.517,2,75,27871,1501,2868,33957,20250729
0,0,0.947368421,210,16.517,2,75,29288,1521,2903,35476,20250729
0,0,1,210,16.517,2,75,31163,1550,2943,37126,20250729
0,0,0,210,16.45,2,75,549,956,2074,7399,20250729
0,0.052631579,0,210,16.45,2,75,570,4691,2150,10427,20250729
0,0.105263158,0,210,16.45,2,75,588,8143,2219,13052,20250729
0,0.157894737,0,210,16.45,2,75,605,11402,2293,15842,20250729
0,0.210526316,0,210,16.45,2,75,623,14675,2363,18449,20250729
0,0.263157895,0,210,16.45,2,75,641,17876,2434,21020,20250729
0,0.315789474,0,210,16.45,2,75,659,21210,2502,23673,20250729
0,0.368421053,0,210,16.45,2,75,676,24606,2570,26378,20250729
0,0.421052632,0,210,16.45,2,75,694,27785,2646,29295,20250729
0,0.473684211,0,210,16.45,2,75,713,31364,2709,31794,20250729
0,0.526315789,0,210,16.45,2,75,731,34616,2781,34517,20250729
0,0.578947368,0,210,16.45,2,75,750,38119,2852,37347,20250729
0,0.631578947,0,210,16.467,2,75,767,41597,2919,39961,20250729
0,0.684210526,0,210,16.467,2,75,785,44754,2990,42659,20250729
0,0.736842105,0,210,16.467,2,75,803,47994,3068,45660,20250729
0,0.789473684,0,210,16.467,2,75,824,51583,3132,48100,20250729
0,0.842105263,0,210,16.467,2,75,843,54959,3209,51024,20250729
0,0.894736842,0,210,16.467,2,75,861,58079,3280,53651,20250729
0,0.947368421,0,210,16.467,2,75,881,61486,3361,56590,20250729
0,1,0,210,16.467,2,75,904,65190,3441,59532,20250729
0,0,0,210,12.2,1,20,742,1432,1624,10003,20250729
0.052631579,0,0,210,12.2,1,20,753,1465,3393,11434,20250729
0.105263158,0,0,210,12.2,1,20,762,1489,4969,12691,20250729
0.157894737,0,0,210,12.2,1,20,772,1517,6481,13896,20250729
0.210526316,0,0,210,12.2,1,20,780,1541,8039,15130,20250729
0.263157895,0,0,210,12.2,1,20,791,1571,9588,16383,20250729
0.315789474,0,0,210,12.2,1,20,802,1602,11244,17723,20250729
0.368421053,0,0,210,12.2,1,20,813,1633,12696,18895,20250729
0.421052632,0,0,210,12.2,1,20,822,1659,14044,19956,20250729
0.473684211,0,0,210,12.2,1,20,832,1690,15569,21190,20250729
0.526315789,0,0,210,12.217,1,20,843,1717,17292,22558,20250729
0.578947368,0,0,210,12.217,1,20,852,1745,18835,23777,20250729
0.631578947,0,0,210,12.217,1,20,864,1776,20217,24900,20250729
0.684210526,0,0,210,12.217,1,20,870,1797,21851,26176,20250729
0.736842105,0,0,210,12.217,1,20,882,1829,23400,27442,20250729
0.789473684,0,0,210,12.217,1,20,892,1858,24949,28666,20250729
0.842105263,0,0,210,12.217,1,20,899,1880,26551,29914,20250729
0.894736842,0,0,210,12.217,1,20,910,1911,28132,31165,20250729
0.947368421,0,0,210,12.217,1,20,919,1935,29562,32280,20250729
1,0,0,210,12.217,1,20,925,1959,31492,33758,20250729
0.147,0.372,0.394,210,17.6,1,20,12897,25180,7587,43114,20250729
0.147,0.372,0.394,210,17.6,1,20,12826,25183,7700,43091,20250729
0.147,0.372,0.394,210,17.6,1,20,12834,25273,7634,43074,20250729
0.147,0.372,0.394,210,17.6,1,20,12845,25206,7483,41880,20250729
0.147,0.372,0.394,210,17.6,1,20,12822,25169,7557,43337,20250729
0.147,0.372,0.394,210,17.6,1,20,12728,24977,7702,43500,20250729
0.147,0.372,0.394,210,17.6,1,20,12959,25332,7605,43339,20250729
0.147,0.372,0.394,210,17.6,1,20,12777,25172,7641,43799,20250729
0.147,0.372,0.394,210,17.6,1,20,12837,25170,7684,43611,20250729
0.147,0.372,0.394,210,17.6,1,20,12866,25218,7526,42983,20250729
0.147,0.372,0.394,210,17.6,1,20,12969,25432,7521,43063,20250729
