R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.5,0.5,302,9.655,1,97,16053,33563,17002,56130,20251029
0.9,0.7,0.7,302,9.656,1,97,22109,46399,29202,65535,20251029
0.6,0.8,0.3,302,9.658,1,97,10085,52251,20446,65535,20251029
0.4,0.8,0.4,302,9.659,1,97,13103,52661,14498,65535,20251029
0.0,0.4,0.5,302,9.66,1,97,16024,27142,2305,43363,20251029
0.1,0.4,0.8,302,9.661,1,97,25030,27196,5617,53783,20251029
0.2,0.6,0.7,302,9.662,1,97,22083,40048,8710,62115,20251029
0.3,0.8,0.5,302,9.664,1,97,16098,52650,11680,65535,20251029
0.8,0.0,0.4,302,9.665,1,97,12960,1686,25119,38042,20251029
0.3,0.4,0.7,302,9.666,1,97,21963,27058,11359,54022,20251029
1.0,0.4,0.8,302,9.668,1,97,25093,27399,32094,65535,20251029
0.5,0.7,1.0,302,9.669,1,97,31308,46417,17643,65535,20251029
0.2,0.4,0.2,302,9.671,1,97,6975,26941,8148,38905,20251029
1.0,0.9,0.6,302,9.672,1,97,19340,59279,32637,65535,20251029
0.1,0.2,0.9,302,9.673,1,97,27949,14509,5391,46506,20251029
0.4,0.8,0.5,302,9.674,1,97,16180,52657,14579,65535,20251029
0.2,0.6,0.1,302,9.676,1,97,3937,39514,8262,46317,20251029
0.6,0.7,0.1,302,9.677,1,97,4143,46291,19962,60357,20251029
0.2,0.1,0.9,302,9.678,1,97,27899,8291,8101,43795,20251029
0.0,0.1,0.2,302,9.679,1,97,6818,7840,1727,19287,20251029
0.6,0.6,0.2,302,9.681,1,97,6990,39666,19940,57089,20251029
0.3,0.2,0.3,302,9.682,1,97,9857,14293,10664,33516,20251029
0.3,0.4,0.9,302,9.683,1,97,28065,27432,11432,60475,20251029
0.3,0.7,0.9,302,9.684,1,97,28165,46610,11730,65535,20251029
0.5,0.3,0.5,302,9.686,1,97,16002,21022,16812,46708,20251029
0.5,0.5,0.5,302,15.133,1,100,15972,33533,17696,55150,20251029
0.4,0.5,0.5,302,15.135,1,100,15837,33280,14931,56824,20251029
0.0,0.9,0.3,302,15.136,1,100,9900,58551,3512,63163,20251029
0.4,1.0,0.3,302,15.137,1,100,10121,65477,15298,65535,20251029
0.5,0.6,0.4,302,15.139,1,100,13068,39808,17868,58636,20251029
0.9,0.2,0.8,302,15.14,1,100,24947,14718,29292,60703,20251029
0.7,0.8,0.6,302,15.141,1,100,19102,52485,24049,65535,20251029
1.0,0.1,0.6,302,15.143,1,100,18840,8352,32213,54361,20251029
0.3,0.4,0.4,302,15.144,1,100,12803,26859,11903,45891,20251029
0.3,0.5,0.4,302,15.145,1,100,12777,33179,12072,51068,20251029
1.0,0.4,0.7,302,15.146,1,100,21935,27307,32667,65535,20251029
0.4,0.6,0.5,302,15.148,1,100,15850,39583,15040,59424,20251029
0.1,0.2,0.7,302,15.149,1,100,21747,14539,5983,41482,20251029
